eph_aglome,RADIO,PERSONAS,decil_NSE
CABA,020031607,787,2
CABA,020031608,774,3
CABA,020031609,1153,7
CABA,020031701,738,3
CABA,020031702,822,4
CABA,020031703,452,2
CABA,020031704,905,1
CABA,020031705,811,2
CABA,020031706,726,2
CABA,020031707,880,3
CABA,020031708,1182,2
CABA,020031709,707,2
CABA,020031801,573,2
CABA,020031802,761,3
CABA,020031803,486,3
CABA,020031804,830,6
CABA,020031805,396,4
CABA,020031806,644,2
CABA,020031807,709,2
CABA,020031808,538,4
CABA,020031809,895,3
CABA,020031810,581,2
CABA,020031811,597,5
CABA,020031901,1181,4
CABA,020031902,301,3
CABA,020031903,665,5
CABA,020031904,727,4
CABA,020031905,812,3
CABA,020031906,781,2
CABA,020031907,949,2
CABA,020031908,1160,3
CABA,020031909,689,4
CABA,020031910,520,3
CABA,020032001,603,2
CABA,020032002,880,4
CABA,020032003,613,4
CABA,020032004,616,5
CABA,020032005,482,4
CABA,020032006,485,2
CABA,020032007,802,3
CABA,020032008,803,2
CABA,020032009,974,3
CABA,020032010,626,5
CABA,020032011,479,5
CABA,020032101,959,6
CABA,020032102,912,4
CABA,020032103,739,6
CABA,020032104,768,4
CABA,020032105,507,2
CABA,020032106,797,2
CABA,020032107,405,3
CABA,020032108,690,3
CABA,020032109,416,3
CABA,020032110,972,3
CABA,020032201,787,4
CABA,020032202,658,5
CABA,020032203,407,2
CABA,020032204,513,7
CABA,020032205,809,4
CABA,020032206,753,2
CABA,020032207,737,2
CABA,020032208,931,3
CABA,020032209,939,3
CABA,020032301,799,3
CABA,020032302,803,5
CABA,020032303,810,5
CABA,020032304,448,2
CABA,020032305,614,3
CABA,020032306,610,5
CABA,020032307,661,3
CABA,020032308,880,4
CABA,020032309,972,2
CABA,020032310,1044,3
CABA,020032401,692,2
CABA,020032402,851,3
CABA,020032403,651,2
CABA,020032404,701,3
CABA,020032405,517,3
CABA,020032406,1074,3
CABA,020032407,674,8
CABA,020032408,753,3
CABA,020032409,458,4
CABA,020032501,1221,7
CABA,020032502,709,3
CABA,020032503,549,2
CABA,020032504,696,2
CABA,020032505,829,4
CABA,020032506,959,2
CABA,020032507,527,3
CABA,020032508,1553,3
CABA,020032509,746,2
CABA,020032601,900,4
CABA,020032602,1162,5
CABA,020032603,803,3
CABA,020032604,517,5
CABA,020032605,834,3
CABA,020032606,605,2
CABA,020032607,815,5
CABA,020032608,586,2
CABA,020032609,790,3
CABA,020032701,966,4
CABA,020032702,842,3
CABA,020032703,906,4
CABA,020032704,834,5
CABA,020032705,781,2
CABA,020032706,838,2
CABA,020032707,932,2
CABA,020040101,770,1
CABA,020040102,795,1
CABA,020040103,635,1
CABA,020040104,801,1
CABA,020040105,824,1
CABA,020040106,725,1
CABA,020040107,518,1
CABA,020040108,685,1
CABA,020040109,650,2
CABA,020040110,491,1
CABA,020040111,593,1
CABA,020040112,529,1
CABA,020040113,405,1
CABA,020040114,749,1
CABA,020040201,753,2
CABA,020040202,826,2
CABA,020040203,1049,2
CABA,020040204,796,1
CABA,020040205,738,1
CABA,020040206,683,2
CABA,020040207,899,1
CABA,020040208,520,1
CABA,020040209,621,1
CABA,020040210,1051,1
CABA,020040301,974,2
CABA,020040302,849,1
CABA,020040303,643,3
CABA,020040304,904,1
CABA,020040305,1061,2
CABA,020040306,902,2
CABA,020040307,686,3
CABA,020040308,844,3
CABA,020040309,575,2
CABA,020040310,822,2
CABA,020040311,920,2
CABA,020040312,1065,2
CABA,020040313,590,1
CABA,020040401,668,2
CABA,020040402,738,5
CABA,020040403,902,3
CABA,020040404,1041,3
CABA,020040405,1016,3
CABA,020040406,795,2
CABA,020040407,886,3
CABA,020040408,780,2
CABA,020040409,850,2
CABA,020040410,661,2
CABA,020040411,960,1
CABA,020040501,891,4
CABA,020040502,639,2
CABA,020040503,797,3
CABA,020040504,715,2
CABA,020040505,453,3
CABA,020040506,936,3
CABA,020040507,834,2
CABA,020040508,1082,2
CABA,020040509,2162,1
CABA,020040510,1258,1
CABA,020040511,1016,1
CABA,020040601,1090,6
CABA,020040602,787,5
CABA,020040603,751,4
CABA,020040604,955,5
CABA,020040605,733,5
CABA,020040606,929,4
CABA,020040607,766,3
CABA,020040608,920,3
CABA,020040609,707,4
CABA,020040610,730,5
CABA,020040611,654,6
CABA,020040701,902,4
CABA,020040702,756,4
CABA,020040703,938,2
CABA,020040704,2159,3
CABA,020040705,763,2
CABA,020040706,861,2
CABA,020040707,785,5
CABA,020040708,689,3
CABA,020040709,744,3
CABA,020040710,610,3
CABA,020040711,1277,4
CABA,020040712,866,2
CABA,020040801,705,3
CABA,020040802,767,3
CABA,020040803,630,3
CABA,020040804,800,2
CABA,020040805,594,2
CABA,020040806,710,2
CABA,020040807,2464,2
CABA,020040808,405,1
CABA,020040809,1093,1
CABA,020040810,763,2
CABA,020040811,899,2
CABA,020040901,1495,1
CABA,020040902,765,1
CABA,020040903,536,1
CABA,020040904,503,1
CABA,020040905,537,1
CABA,020040906,839,1
CABA,020040907,782,1
CABA,020041001,73,1
CABA,020041002,1935,1
CABA,020041003,1653,1
CABA,020041004,464,1
CABA,020041005,1659,1
CABA,020041006,1004,1
CABA,020041007,901,1
CABA,020041008,1602,1
CABA,020041009,2091,1
CABA,020041101,862,1
CABA,020041102,847,2
CABA,020041103,785,3
CABA,020041104,643,2
CABA,020041105,456,2
CABA,020041106,964,1
CABA,020041107,1049,1
CABA,020041108,922,2
CABA,020041109,885,1
CABA,020041201,604,1
CABA,020041202,540,1
CABA,020041203,721,4
CABA,020041204,975,3
CABA,020041205,615,2
CABA,020041206,796,1
CABA,020041207,484,1
CABA,020041208,403,5
CABA,020041209,739,5
CABA,020041210,884,2
CABA,020041211,632,7
CABA,020041212,573,5
CABA,020041301,907,9
CABA,020041302,618,5
CABA,020041303,638,4
CABA,020041304,486,6
CABA,020041305,956,8
CABA,020041306,576,3
CABA,020041307,898,9
CABA,020041308,409,4
CABA,020041309,407,5
CABA,020041310,491,6
CABA,020041311,1139,4
CABA,020041401,635,2
CABA,020041402,588,3
CABA,020041403,645,4
CABA,020041404,1110,5
CABA,020041405,669,5
CABA,020041406,497,6
CABA,020041407,757,2
CABA,020041408,992,3
CABA,020041409,664,5
CABA,020041501,639,5
CABA,020041502,1292,6
CABA,020041503,1064,7
CABA,020041504,732,6
CABA,020041505,542,4
CABA,020041506,594,4
CABA,020041507,644,5
CABA,020041508,671,7
CABA,020041509,663,5
CABA,020041510,527,4
CABA,020041601,681,2
CABA,020041602,1933,5
CABA,020041603,1245,3
CABA,020041604,646,3
CABA,020041605,970,3
CABA,020041606,557,3
CABA,020041607,401,4
CABA,020041608,611,1
CABA,020041609,1064,2
CABA,020041610,786,2
CABA,020041701,577,7
CABA,020041702,590,4
CABA,020041703,584,3
CABA,020041704,675,4
CABA,020041705,759,4
CABA,020041706,607,4
CABA,020041707,609,3
CABA,020041708,994,2
CABA,020041709,757,5
CABA,020041710,881,1
CABA,020041801,74,2
CABA,020041901,674,1
CABA,020041902,735,2
CABA,020041903,904,2
CABA,020041904,1134,1
CABA,020041905,805,1
CABA,020041906,1147,1
CABA,020041907,933,1
CABA,020041908,1520,1
CABA,020041909,1129,1
CABA,020041910,644,1
CABA,020042001,931,1
CABA,020042002,705,2
CABA,020042003,849,1
CABA,020042004,603,1
CABA,020042005,756,2
CABA,020042006,868,1
CABA,020042007,849,2
CABA,020042008,797,1
CABA,020042009,849,1
CABA,020042010,1125,1
CABA,020042011,913,2
CABA,020042012,1169,2
CABA,020042101,703,1
CABA,020042102,799,1
CABA,020042103,561,1
CABA,020042104,767,1
CABA,020042105,655,2
CABA,020042106,732,1
CABA,020042107,838,2
CABA,020042108,981,1
CABA,020042109,835,1
CABA,020042110,733,1
CABA,020042111,912,2
CABA,020042112,557,1
CABA,020042201,589,5
CABA,020042202,745,4
CABA,020042203,886,6
CABA,020042204,1305,5
CABA,020042205,765,3
CABA,020042206,599,7
CABA,020042207,903,5
CABA,020042208,987,3
CABA,020042209,685,2
CABA,020042210,563,3
CABA,020042211,728,3
CABA,020042212,605,2
CABA,020042301,834,2
CABA,020042302,873,2
CABA,020042303,819,1
CABA,020042304,827,2
CABA,020042305,543,5
CABA,020042306,695,2
CABA,020042307,653,2
CABA,020042308,845,2
CABA,020042309,471,2
CABA,020042310,804,2
CABA,020042311,573,1
CABA,020042312,780,1
CABA,020042401,1396,1
CABA,020042402,1852,1
CABA,020042403,1220,1
CABA,020042404,1929,1
CABA,020042405,1350,1
CABA,020042406,1417,1
CABA,020042501,2357,1
CABA,020042502,2215,1
CABA,020042503,3945,1
CABA,020042504,2028,1
CABA,020042601,1008,1
CABA,020042602,1228,1
CABA,020042603,1219,1
CABA,020050101,553,8
CABA,020050102,879,8
CABA,020050103,775,5
CABA,020050104,683,8
CABA,020050105,1103,7
CABA,020050106,498,5
CABA,020050107,625,7
CABA,020050108,742,7
CABA,020050109,691,6
CABA,020050110,673,6
CABA,020050201,875,8
CABA,020050202,616,8
CABA,020050203,723,9
CABA,020050204,941,9
CABA,020050205,568,9
CABA,020050206,610,4
CABA,020050207,572,2
CABA,020050208,1067,9
CABA,020050209,837,4
CABA,020050210,675,3
CABA,020050211,841,7
CABA,020050301,757,4
CABA,020050302,1145,6
CABA,020050303,369,1
CABA,020050304,582,6
CABA,020050305,727,7
CABA,020050306,669,5
CABA,020050307,563,5
CABA,020050308,357,7
CABA,020050309,610,5
CABA,020050310,535,6
CABA,020050311,839,5
CABA,020050401,1030,5
CABA,020050402,726,8
CABA,020050403,703,7
CABA,020050404,699,7
CABA,020050405,723,6
CABA,020050406,1027,9
CABA,020050407,553,5
CABA,020050408,1094,5
CABA,020050409,778,5
CABA,020050501,784,8
CABA,020050502,1353,7
CABA,020050503,743,6
CABA,020050504,727,8
CABA,020050505,593,9
CABA,020050506,716,8
CABA,020050507,890,6
CABA,020050508,710,8
CABA,020050601,740,9
CABA,020050602,991,8
CABA,020050603,877,6
CABA,020050604,1481,7
CABA,020050605,1134,7
CABA,020050606,907,5
CABA,020050607,894,7
CABA,020050608,922,8
CABA,020050701,1206,7
CABA,020050702,538,6
CABA,020050703,640,5
CABA,020050704,1364,6
CABA,020050705,1295,4
CABA,020050706,627,5
CABA,020050707,894,7
CABA,020050708,909,5
CABA,020050801,1171,7
CABA,020050802,703,5
CABA,020050803,1180,8
CABA,020050804,990,6
CABA,020050805,401,8
CABA,020050806,896,6
CABA,020050807,855,8
CABA,020050808,834,6
CABA,020050809,767,8
CABA,020050901,1082,7
CABA,020050902,601,8
CABA,020050903,575,7
CABA,020050904,526,6
CABA,020050905,576,6
CABA,020050906,572,6
CABA,020050907,485,7
CABA,020050908,941,6
CABA,020050909,924,6
CABA,020050910,806,5
CABA,020051001,1160,7
CABA,020051002,1082,7
CABA,020051003,416,3
CABA,020051004,557,6
CABA,020051005,749,5
CABA,020051006,791,3
CABA,020051007,1225,5
CABA,020051008,660,5
CABA,020051009,785,6
CABA,020051010,540,8
CABA,020051101,1144,8
CABA,020051102,894,8
CABA,020051103,694,9
CABA,020051104,682,7
CABA,020051105,764,5
CABA,020051106,747,8
CABA,020051107,1059,7
CABA,020051108,791,6
CABA,020051109,1026,6
CABA,020051110,855,6
CABA,020051201,606,4
CABA,020051202,1821,7
CABA,020051203,949,9
CABA,020051204,735,6
CABA,020051205,435,7
CABA,020051206,1575,8
CABA,020051207,897,6
